Joylashgan o'rni,Narxi,Sharoiti 5 ballik sistemada,Xonalar soni,Hovli yoki dom,Qanday jixozlar borligi 10 ballik sistema,Yashovchilar soni
Sirdaryo,200$,4,5,dom,8,8
Guliston,250$,5,2,hovli ,6,5
Sardoba ,300$,4,4,hovli ,9,6
Mirzabod,200$,3,6,dom ,5,6
Bayovut,180$,4,5,dom,7,4
Oqoltin,150$,5,2,dom,4,8
Toshkent,500$,2,4,hovli ,8,9
Piskent,450$,3,5,hovli ,6,6
Boka ,200$,5,3,dom ,5,5
Begobod,250$,5,2,dom,9,7
Angren,300$,4,4,dom,6,4
Chinoz,200$,5,5,hovli ,8,5
Chirchiq,180$,5,3,hovli ,6,6
Sergili,150$,4,1,dom ,4,8
Yunusobod,500$,5,5,dom,9,9
O'rta chirciq,450$,4,3,dom,7,5
Yuqori chirchiq,200$,5,5,hovli ,5,6
Yangiyo'l,250$,4,6,hovli ,7,4
Ohongaron,300$,5,3,dom ,5,5
Jizzax,200$,2,4,dom,6,8
Do'stlik,180$,5,3,dom,8,7
Paxtakor,150$,4,5,hovli ,7,6
G'alaorol,500$,5,3,hovli ,6,6
Baxmal ,450$,2,5,dom ,4,8
Zomin,200$,4,6,dom,7,7
Forish,250$,5,3,dom,7,6
Samarqand,300$,4,3,hovli ,9,8
Pastorg'on,200$,2,6,hovli ,6,6
Tayloq,180$,5,5,dom ,9,5
Urgut,150$,1,3,dom,5,9
Chelak,500$,5,5,dom,9,5
Jonboy,450$,4,3,hovli ,5,6
Bulung'ur,200$,2,2,hovli ,8,7
Ishtixon,250$,3,3,dom ,7,8
Andijon,300$,5,6,dom,4,6
Farg'ona ,200$,4,2,dom,7,7
Namangan,180$,3,5,hovli ,5,6
Qashqadaryo,150$,5,2,hovli ,8,9
Surxondaryo,500$,4,5,dom ,4,5
Sherobod,450$,3,5,dom,7,6
Termiz,200$,3,3,dom,4,4
Buxoro,250$,2,2,hovli ,7,6
Xorazm,300$,5,6,hovli ,4,9
Navoiy,200$,3,6,dom ,6,4
Qiziltepa ,180$,4,2,dom,6,6
Xatirchi,150$,3,5,dom,5,5
Nurota ,500$,5,3,hovli ,8,8
Karmana,450$,2,4,hovli ,7,6
Navbaxor,200$,5,6,dom ,4,6
Sayxun,250$,4,5,dom,4,5
